meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1238,9539,55,5,2024-06-23T13:08:42.323000+00:00,23.74,32.691,24.369,261.0,268,False,80.8,"[None, 2048, 2048, 2048, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",306.0
1238,9539,16,5,2024-06-23T13:08:43.039000+00:00,23.906,32.529,24.497,266.0,271,False,80.932,"[None, 2049, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",328.0
1238,9539,10,5,2024-06-23T13:08:44.119000+00:00,23.658,32.7,24.422,265.0,267,False,80.78,"[None, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 0]",325.0
1238,9539,81,5,2024-06-23T13:08:45.076000+00:00,23.92,32.85,24.445,,267,False,81.215,"[None, 2048, 2048, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",304.0
1238,9539,31,5,2024-06-23T13:08:46.340000+00:00,24.076,32.88,24.58,264.0,264,False,81.536,"[None, 2048, 2048, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",304.0
1238,9539,27,5,2024-06-23T13:08:48.171000+00:00,24.24,32.738,24.88,265.0,269,False,81.858,"[None, 2048, 2048, 2049, 2049, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",307.0
1238,9539,11,5,2024-06-23T13:08:49.604000+00:00,24.343,32.631,24.681,,259,False,81.655,"[None, 2048, 2048, 2049, 2049, 2049, 2048]","[2049, 2048, 2049, 2049, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048]",303.0
1238,9539,14,5,2024-06-23T13:08:50.365000+00:00,24.738,33.163,24.692,256.0,255,False,82.593,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049]",316.0
1238,9539,18,5,2024-06-23T13:08:51.084000+00:00,24.455,33.073,24.735,240.0,246,False,82.263,"[None, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2049, 2048]","[2048, 2048, 2048, 2049, 2048, 2048]",328.0
1238,9539,77,5,2024-06-23T13:08:52.045000+00:00,24.103,33.63,24.929,256.0,250,False,82.662,"[None, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",328.0
1238,9539,22,5,2024-06-23T13:08:52.713000+00:00,23.987,33.836,25.096,256.0,263,False,82.919,"[None, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2049]",
1238,9539,20,5,2024-06-23T13:08:53.035000+00:00,23.714,34.392,24.936,276.0,261,False,83.042,"[2049, 2051, 2049, 2048, 2048, 2049, 2051]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",343.0
1238,9539,24,5,2024-06-23T13:08:53.851000+00:00,23.736,33.97,25.104,248.0,216,False,82.81,"[None, 2048, 2049, 2049, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",332.0
1238,9539,3,5,2024-06-23T13:08:54.351000+00:00,24.121,33.655,25.229,255.0,247,False,83.005,"[None, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048]",333.0
1238,9539,2,5,2024-06-23T13:08:55.055000+00:00,24.114,33.512,25.243,263.0,258,False,82.869,"[None, 2048, 2048, 2049, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",329.0
1238,9539,23,5,2024-06-23T13:08:55.463000+00:00,24.396,33.422,24.957,247.0,259,False,82.775,"[None, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2049]",337.0
1238,9539,1,6,2024-06-23T13:09:58.777000+00:00,24.212,32.383,24.281,263.0,265,False,80.876,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",295.0
1238,9539,63,6,2024-06-23T13:10:00.184000+00:00,24.123,32.597,24.35,262.0,268,False,81.07,"[2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",297.0
1238,9539,4,6,2024-06-23T13:10:01.106000+00:00,23.922,32.657,24.477,253.0,259,False,81.056,"[2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",320.0
1238,9539,44,6,2024-06-23T13:10:01.898000+00:00,23.8,32.807,24.593,259.0,263,False,81.2,"[None, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",331.0
1238,9539,55,6,2024-06-23T13:10:03.175000+00:00,23.992,32.674,24.551,266.0,262,False,81.217,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",303.0
1238,9539,16,6,2024-06-23T13:10:03.869000+00:00,23.867,32.739,24.621,260.0,269,False,81.227,"[2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",326.0
1238,9539,10,6,2024-06-23T13:10:04.796000+00:00,23.704,32.875,24.724,,272,False,81.303,"[2049, 2049, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",
1238,9539,81,6,2024-06-23T13:10:06.389000+00:00,23.977,32.6,24.479,269.0,268,False,81.056,"[None, 2048, 2048, 2049, 2048, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2049]",299.0
1238,9539,31,6,2024-06-23T13:10:07.943000+00:00,23.913,32.806,24.571,265.0,265,False,81.29,"[None, 2048, 2048, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048]",302.0
1238,9539,27,6,2024-06-23T13:10:10.136000+00:00,24.207,32.663,24.675,262.0,274,False,81.545,"[None, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",304.0
1238,9539,11,6,2024-06-23T13:10:11.273000+00:00,24.284,32.745,24.497,254.0,255,False,81.526,"[None, 2048, 2048, 2048, 2049, 2049, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2049]",
1238,9539,14,6,2024-06-23T13:10:13.088000+00:00,25.168,33.393,24.975,258.0,252,False,83.536,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",301.0
1238,9539,18,6,2024-06-23T13:10:13.516000+00:00,23.796,33.273,25.061,246.0,250,False,82.13,"[None, 2048, 2049, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",327.0
